log_id,customer_id,ticket_type,rating,status,log_date
LOG_00035,CUST_0580,Account Problem,,Open,2025-03-03
LOG_00036,CUST_0942,Delivery Query,1,pending,2025-01-22
LOG_00037,CUST_0580,Account Problem,2,pending,2025-01-15
LOG_00038,CUST_0377,Technical Issue,4,Open,2025-12-30
LOG_00039,CUST_0629,Refund Request,5,pending,2025-07-15
LOG_00040,CUST_0755,Account Problem,,closed,2025-03-22
LOG_00041,CUST_0926,Account Problem,5,Open,2025-01-23
LOG_00042,CUST_0031,Technical Issue,,closed,2025-05-27
LOG_00043,CUST_0989,Refund Request,,resolved,2025-03-12
LOG_00044,CUST_0051,Technical Issue,5,Open,2025-11-23
LOG_00045,CUST_0677,Refund Request,2,Closed,2025-01-19
LOG_00046,CUST_0302,Technical Issue,,closed,2025-05-05
LOG_00047,CUST_0308,Technical Issue,5,Open,2025-02-04
LOG_00048,CUST_0246,Technical Issue,5,Pending,2025-08-29
LOG_00049,CUST_0499,Account Problem,4,Closed,2025-08-13
LOG_00050,CUST_0959,General Inquiry,5,Closed,2025-05-06
LOG_00051,CUST_0601,Technical Issue,,pending,2025-07-28
LOG_00052,CUST_0624,Delivery Query,5,pending,2025-06-23
LOG_00053,CUST_0406,Refund Request,2,resolved,2025-07-15
LOG_00054,CUST_0634,Account Problem,5,RESOLVED,2025-10-28
LOG_00055,CUST_0900,Technical Issue,,RESOLVED,2025-02-02
LOG_00056,CUST_0010,Account Problem,2,RESOLVED,2025-05-29
LOG_00057,CUST_0238,Refund Request,4,pending,2025-05-08
LOG_00058,CUST_0044,Delivery Query,4,open,2025-10-20
LOG_00059,CUST_0109,Delivery Query,2,Pending,2025-02-19
LOG_00060,CUST_0341,Account Problem,1,Closed,2025-12-28
LOG_00061,CUST_0541,Refund Request,4,RESOLVED,2025-12-12
LOG_00062,CUST_0437,General Inquiry,3,resolved,2025-09-24
LOG_00063,CUST_0677,Refund Request,4,closed,2025-03-09
LOG_00064,CUST_0213,Technical Issue,3,Pending,2025-12-31
LOG_00065,CUST_0157,Refund Request,4,Closed,2025-03-31
LOG_00066,CUST_0686,Account Problem,3,Closed,2025-07-04
LOG_00067,CUST_0431,Account Problem,4,closed,2025-06-11
LOG_00068,CUST_0151,Refund Request,3,pending,2025-07-30
LOG_00069,CUST_0563,General Inquiry,,closed,2025-03-29
LOG_00070,CUST_0121,Refund Request,2,RESOLVED,2025-06-23
LOG_00071,CUST_0699,Refund Request,5,Open,2025-09-27
LOG_00072,CUST_0248,Refund Request,,pending,2025-01-24
LOG_00073,CUST_0760,Technical Issue,5,pending,2025-09-18
LOG_00074,CUST_0031,Refund Request,1,RESOLVED,2025-03-13
LOG_00075,CUST_0690,General Inquiry,1,pending,2025-09-11
LOG_00076,CUST_0810,Refund Request,,RESOLVED,2025-07-23
LOG_00077,CUST_0369,General Inquiry,5,open,2025-08-28
LOG_00078,CUST_0942,Refund Request,5,closed,2025-09-30
LOG_00079,CUST_0503,General Inquiry,3,RESOLVED,2025-01-07
LOG_00080,CUST_0524,General Inquiry,1,resolved,2025-04-05
LOG_00081,CUST_0338,Refund Request,1,open,2025-09-19
LOG_00082,CUST_0190,Delivery Query,1,open,2025-06-01
LOG_00083,CUST_0952,Account Problem,3,Closed,2025-06-17
LOG_00084,CUST_0453,Delivery Query,1,resolved,2025-02-16
LOG_00085,CUST_0860,Account Problem,5,closed,2025-05-07
LOG_00086,CUST_0015,Refund Request,5,Open,2025-02-15
LOG_00087,CUST_0406,Refund Request,4,pending,2025-07-19
LOG_00088,CUST_0009,General Inquiry,1,pending,2025-12-17
LOG_00089,CUST_0549,General Inquiry,5,Closed,2025-11-25
LOG_00090,CUST_0328,Technical Issue,5,RESOLVED,2025-09-20
LOG_00091,CUST_0798,Account Problem,2,closed,2025-05-24
LOG_00092,CUST_0525,Refund Request,4,Closed,2025-06-08
LOG_00093,CUST_0945,Technical Issue,,closed,2025-10-20
LOG_00094,CUST_0402,General Inquiry,,RESOLVED,2025-07-28
LOG_00095,CUST_8888,Delivery Query,3,RESOLVED,2025-09-02
LOG_00096,CUST_0323,Technical Issue,,resolved,2025-02-02
LOG_00097,CUST_0800,General Inquiry,5,pending,2025-05-05
LOG_00098,CUST_0275,Refund Request,3,closed,2025-06-27
LOG_00099,CUST_0513,Refund Request,3,Pending,2025-01-21
LOG_00100,CUST_0750,General Inquiry,,Closed,2025-08-02
LOG_00101,CUST_0710,General Inquiry,3,RESOLVED,2025-12-15
LOG_00102,CUST_0810,General Inquiry,1,Open,2025-08-23
LOG_00103,CUST_0230,Refund Request,2,resolved,2025-09-11
LOG_00104,CUST_0037,Delivery Query,5,closed,2025-07-08
LOG_00105,CUST_0718,Account Problem,4,Closed,2025-07-05
LOG_00106,CUST_0695,Technical Issue,4,RESOLVED,2025-06-28
LOG_00107,CUST_0487,Technical Issue,5,open,2025-10-02
LOG_00108,CUST_0856,Refund Request,5,closed,2025-01-06
LOG_00109,CUST_0419,Delivery Query,2,Pending,2025-10-04
LOG_00110,CUST_0268,Refund Request,1,RESOLVED,2025-12-31
LOG_00111,CUST_0445,Refund Request,3,resolved,2025-01-25
LOG_00112,CUST_0861,Delivery Query,5,resolved,2025-02-24
LOG_00113,CUST_0087,Delivery Query,1,Closed,2025-06-30
LOG_00114,CUST_0328,Refund Request,5,resolved,2025-11-09
LOG_00115,CUST_0116,Technical Issue,4,resolved,2025-05-19
LOG_00116,CUST_0809,Account Problem,5,RESOLVED,2025-09-22
LOG_00117,CUST_0861,Delivery Query,5,closed,2025-07-14
LOG_00118,CUST_0850,Refund Request,2,pending,2025-08-16
LOG_00119,CUST_0973,Refund Request,4,Open,2025-04-05
LOG_00120,CUST_0613,Technical Issue,5,RESOLVED,2025-07-03
LOG_00121,CUST_0947,Account Problem,1,open,2025-02-19
LOG_00122,CUST_0529,Delivery Query,4,Pending,2025-01-19
LOG_00123,CUST_0968,Delivery Query,1,Open,2025-08-09
LOG_00124,CUST_0605,Account Problem,,pending,2025-08-15
LOG_00125,CUST_0754,Refund Request,,RESOLVED,2025-10-23
LOG_00126,CUST_0945,Refund Request,3,RESOLVED,2025-06-02
LOG_00127,CUST_0045,Refund Request,5,open,2025-04-19
LOG_00128,CUST_0358,Account Problem,1,open,2025-01-09
LOG_00129,CUST_0363,Delivery Query,4,closed,2025-07-03
LOG_00130,CUST_0379,Technical Issue,2,Pending,2025-04-27
LOG_00131,CUST_0778,Account Problem,,open,2025-06-13
LOG_00132,CUST_0635,General Inquiry,3,closed,2025-04-02
LOG_00133,CUST_0087,Account Problem,5,pending,2025-10-15
LOG_00134,CUST_0998,General Inquiry,2,resolved,2025-08-30
LOG_00135,CUST_0007,Account Problem,5,open,2025-07-23
LOG_00136,CUST_0140,General Inquiry,,Open,2025-03-02
LOG_00137,CUST_0082,Technical Issue,3,pending,2025-03-25
LOG_00138,CUST_0815,Technical Issue,,resolved,2025-03-14
LOG_00139,CUST_0710,General Inquiry,5,Open,2025-07-11
LOG_00140,CUST_0113,Delivery Query,1,Open,2025-08-07
LOG_00141,CUST_0783,Technical Issue,,Open,2025-08-18
LOG_00142,CUST_0902,Delivery Query,2,resolved,2025-03-25
LOG_00143,CUST_0654,Account Problem,5,closed,2025-10-16
LOG_00144,CUST_0657,Technical Issue,1,closed,2025-11-25
LOG_00145,CUST_0804,Refund Request,4,Closed,2025-01-03
LOG_00146,CUST_0444,Technical Issue,3,closed,2025-03-14
LOG_00147,CUST_0954,General Inquiry,4,Pending,2025-09-01
LOG_00148,CUST_0555,General Inquiry,5,Open,2025-04-15
LOG_00149,CUST_0568,Refund Request,3,open,2025-03-21
LOG_00150,CUST_0073,General Inquiry,4,open,2025-08-12
LOG_00151,CUST_0694,General Inquiry,4,open,2025-07-07
LOG_00152,CUST_0368,Delivery Query,,closed,2025-05-16
LOG_00153,CUST_0261,Account Problem,3,RESOLVED,2025-07-24
LOG_00154,CUST_0376,Account Problem,2,Open,2025-02-25
LOG_00155,CUST_0957,General Inquiry,2,open,2025-11-18
LOG_00156,CUST_0583,Account Problem,4,Pending,2025-06-03
LOG_00157,CUST_0835,Technical Issue,1,resolved,2025-04-09
LOG_00158,CUST_0899,Technical Issue,5,pending,2025-01-29
LOG_00159,CUST_0783,General Inquiry,3,Closed,2025-01-05
LOG_00160,CUST_0063,Delivery Query,3,pending,2025-03-31
LOG_00161,CUST_0143,General Inquiry,4,Open,2025-02-17
LOG_00162,CUST_0829,Delivery Query,3,closed,2025-02-13
LOG_00163,CUST_0601,Refund Request,2,Closed,2025-11-18
LOG_00164,CUST_0992,Account Problem,,pending,2025-12-05
LOG_00165,CUST_0645,Refund Request,3,pending,2025-07-29
LOG_00166,CUST_0210,General Inquiry,,Open,2025-10-18
LOG_00167,CUST_0850,General Inquiry,,Open,2025-07-09
LOG_00168,CUST_0338,Technical Issue,1,Closed,2025-05-15
LOG_00169,CUST_0767,Delivery Query,,Open,2025-09-06
LOG_00170,CUST_0401,Delivery Query,,closed,2025-03-13
LOG_00171,CUST_8888,Technical Issue,,Pending,2025-03-05
LOG_00172,CUST_0166,Account Problem,,Closed,2025-02-12
LOG_00173,CUST_0106,Refund Request,5,open,2025-08-15
LOG_00174,CUST_0646,Delivery Query,4,closed,2025-05-29
LOG_00175,CUST_0444,Technical Issue,2,RESOLVED,2025-04-07
LOG_00176,CUST_0136,Account Problem,2,pending,2025-07-19
LOG_00177,CUST_0538,Account Problem,3,resolved,2025-09-26
LOG_00178,CUST_0972,Technical Issue,,Pending,2025-06-11
LOG_00179,CUST_0686,General Inquiry,,RESOLVED,2025-11-28
LOG_00180,CUST_0110,Technical Issue,3,pending,2025-11-09
LOG_00181,CUST_0713,Account Problem,5,resolved,2025-11-05
LOG_00182,CUST_0818,Refund Request,4,closed,2025-01-28
LOG_00183,CUST_0302,General Inquiry,3,Pending,2025-04-01
LOG_00184,CUST_0549,Delivery Query,2,RESOLVED,2025-03-14
LOG_00185,CUST_0574,Technical Issue,1,Closed,2025-08-23
LOG_00186,CUST_0504,Account Problem,5,RESOLVED,2025-12-17
LOG_00187,CUST_0284,Refund Request,,RESOLVED,2025-06-24
LOG_00188,CUST_0284,Account Problem,2,pending,2025-09-18
LOG_00189,CUST_0665,Delivery Query,4,Open,2025-03-26
LOG_00190,CUST_0328,Refund Request,,Pending,2025-09-13
LOG_00191,CUST_0159,Account Problem,,resolved,2025-04-16
LOG_00192,CUST_0883,Refund Request,3,Pending,2025-09-18
LOG_00193,CUST_0492,Technical Issue,3,open,2025-08-05
LOG_00194,CUST_0449,Refund Request,2,Closed,2025-04-22
LOG_00195,CUST_0725,Delivery Query,4,Pending,2025-05-01
LOG_00196,CUST_0729,Account Problem,2,RESOLVED,2025-11-14
LOG_00197,CUST_0569,Delivery Query,5,pending,2025-10-07
LOG_00198,CUST_0556,Technical Issue,,Closed,2025-12-15
LOG_00199,CUST_0164,Technical Issue,3,closed,2025-11-12
LOG_00200,CUST_0422,Refund Request,1,open,2025-02-26
LOG_00201,CUST_0676,General Inquiry,,pending,2025-08-19
LOG_00202,CUST_0937,General Inquiry,2,open,2025-05-10
LOG_00203,CUST_0704,Delivery Query,4,Open,2025-12-01
LOG_00204,CUST_0898,Refund Request,,RESOLVED,2025-07-11
LOG_00205,CUST_0851,Account Problem,2,RESOLVED,2025-12-11
LOG_00206,CUST_0612,Technical Issue,3,Open,2025-11-04
LOG_00207,CUST_0880,Technical Issue,3,pending,2025-09-28
LOG_00208,CUST_0438,Refund Request,5,resolved,2025-04-09
LOG_00209,CUST_0707,Account Problem,2,pending,2025-04-08
LOG_00210,CUST_0970,Delivery Query,,Closed,2025-09-09
LOG_00211,CUST_0317,General Inquiry,1,resolved,2025-03-30
LOG_00212,CUST_0899,Technical Issue,5,resolved,2025-09-08
LOG_00213,CUST_0849,Delivery Query,4,resolved,2025-07-13
LOG_00214,CUST_0641,Account Problem,1,RESOLVED,2025-10-16
LOG_00215,CUST_0548,Technical Issue,2,Open,2025-07-31
LOG_00216,CUST_0683,Refund Request,,RESOLVED,2025-03-03
LOG_00217,CUST_0966,Refund Request,1,resolved,2025-10-03
LOG_00218,CUST_0367,Technical Issue,3,closed,2025-03-09
LOG_00219,CUST_0088,Account Problem,5,Open,2025-07-16
LOG_00220,CUST_0101,Account Problem,1,open,2025-08-06
LOG_00221,CUST_0916,Refund Request,1,RESOLVED,2025-05-27
LOG_00222,CUST_0372,Delivery Query,3,RESOLVED,2025-03-04
LOG_00223,CUST_0393,Account Problem,,pending,2025-08-03
LOG_00224,CUST_0826,Account Problem,5,Open,2025-08-25
LOG_00225,CUST_0080,Technical Issue,2,RESOLVED,2025-08-06
LOG_00226,CUST_0714,Refund Request,,open,2025-06-24
LOG_00227,CUST_0409,Technical Issue,1,Open,2025-03-21
LOG_00228,CUST_0564,Refund Request,4,open,2025-11-22
LOG_00229,CUST_0884,Delivery Query,4,pending,2025-08-28
LOG_00230,CUST_0521,General Inquiry,1,open,2025-03-26
LOG_00231,CUST_0625,Refund Request,,resolved,2025-12-24
LOG_00232,CUST_0909,Delivery Query,,open,2025-09-08
LOG_00233,CUST_0036,General Inquiry,2,closed,2025-04-03
LOG_00234,CUST_0457,Technical Issue,2,Closed,2025-04-18
LOG_00235,CUST_0551,Delivery Query,,Open,2025-05-22
LOG_00236,CUST_0789,General Inquiry,5,pending,2025-08-12
LOG_00237,CUST_0104,Refund Request,,Open,2025-11-03
LOG_00238,CUST_0252,Account Problem,2,open,2025-09-13
LOG_00239,CUST_0489,Account Problem,2,open,2025-09-18
LOG_00240,CUST_0175,Delivery Query,,pending,2025-10-29
LOG_00241,CUST_0797,Technical Issue,,Open,2025-12-25
LOG_00242,CUST_0719,Account Problem,,resolved,2025-09-15
LOG_00243,CUST_0702,Delivery Query,1,closed,2025-02-26
LOG_00244,CUST_0458,Account Problem,,closed,2025-09-09
LOG_00245,CUST_0576,Delivery Query,5,Open,2025-01-09
LOG_00246,CUST_0406,Account Problem,,Open,2025-12-13
LOG_00247,CUST_0224,Account Problem,2,closed,2025-03-24
LOG_00248,CUST_0574,Delivery Query,1,Pending,2025-08-18
LOG_00249,CUST_0998,Refund Request,,pending,2025-07-05
LOG_00250,CUST_0091,Delivery Query,5,Pending,2025-02-12
LOG_00251,CUST_0478,Refund Request,5,Closed,2025-07-18
LOG_00252,CUST_0985,General Inquiry,5,resolved,2025-08-11
LOG_00253,CUST_0616,Refund Request,5,pending,2025-01-06
LOG_00254,CUST_0737,General Inquiry,1,RESOLVED,2025-10-12
LOG_00255,CUST_0266,Refund Request,4,Open,2025-09-15
LOG_00256,CUST_0450,Delivery Query,2,resolved,2025-10-27
LOG_00257,CUST_0458,Technical Issue,2,RESOLVED,2025-05-15
LOG_00258,CUST_0276,Account Problem,4,RESOLVED,2025-09-22
LOG_00259,CUST_0246,General Inquiry,4,pending,2025-04-22
LOG_00260,CUST_0650,Delivery Query,4,open,2025-12-08
LOG_00261,CUST_0354,Refund Request,5,Closed,2025-06-23
LOG_00262,CUST_0493,Refund Request,,Open,2025-10-01
LOG_00263,CUST_0943,Delivery Query,2,open,2025-05-29
LOG_00264,CUST_0081,Account Problem,2,open,2025-10-13
LOG_00265,CUST_0492,Refund Request,2,Pending,2025-03-25
LOG_00266,CUST_0907,Account Problem,3,resolved,2025-09-12
LOG_00267,CUST_0385,Technical Issue,5,RESOLVED,2025-10-13
LOG_00268,CUST_0971,Refund Request,4,Pending,2025-12-07
LOG_00269,CUST_0014,Technical Issue,2,resolved,2025-09-09
LOG_00270,CUST_0895,Refund Request,3,Pending,2025-05-14
LOG_00271,CUST_0136,Account Problem,5,resolved,2025-01-10
LOG_00272,CUST_0058,Refund Request,1,closed,2025-05-03
LOG_00273,CUST_0346,Refund Request,5,resolved,2025-05-11
LOG_00274,CUST_0164,Refund Request,2,Closed,2025-02-25
LOG_00275,CUST_0160,Account Problem,,Pending,2025-03-17
LOG_00276,CUST_0512,General Inquiry,3,Open,2025-07-13
LOG_00277,CUST_0636,General Inquiry,1,Open,2025-12-19
LOG_00278,CUST_0402,Technical Issue,3,Pending,2025-06-08
LOG_00279,CUST_0092,Account Problem,,Pending,2025-12-19
LOG_00280,CUST_0380,Account Problem,5,closed,2025-04-25
LOG_00281,CUST_0269,General Inquiry,1,Pending,2025-10-01
LOG_00282,CUST_0776,Account Problem,2,pending,2025-07-26
LOG_00283,CUST_0243,General Inquiry,5,Closed,2025-08-23
LOG_00284,CUST_0055,Account Problem,4,pending,2025-07-01
LOG_00285,CUST_0608,Account Problem,3,Pending,2025-08-15
LOG_00286,CUST_0655,Account Problem,4,Pending,2025-08-11
LOG_00287,CUST_0033,Refund Request,3,resolved,2025-07-30
LOG_00288,CUST_0394,Technical Issue,2,closed,2025-10-17
LOG_00289,CUST_0958,Delivery Query,2,pending,2025-09-13
LOG_00290,CUST_0829,Delivery Query,4,closed,2025-11-27
LOG_00291,CUST_0754,Delivery Query,1,Open,2025-03-21
LOG_00292,CUST_0942,Technical Issue,,closed,2025-04-22
LOG_00293,CUST_8888,Delivery Query,4,Closed,2025-11-18
LOG_00294,CUST_0031,Technical Issue,2,Open,2025-06-20
LOG_00295,CUST_0390,General Inquiry,2,resolved,2025-09-20
LOG_00296,CUST_0441,General Inquiry,1,Pending,2025-11-03
LOG_00297,CUST_0141,Account Problem,1,pending,2025-03-07
LOG_00298,CUST_0171,Delivery Query,2,open,2025-05-31
LOG_00299,CUST_0817,Delivery Query,4,resolved,2025-11-23
LOG_00300,CUST_0585,Account Problem,4,RESOLVED,2025-02-27
LOG_00301,CUST_0325,Delivery Query,3,pending,2025-05-03
LOG_00302,CUST_0866,Delivery Query,1,open,2025-02-23
LOG_00303,CUST_0290,General Inquiry,2,open,2025-01-06
LOG_00304,CUST_0778,Technical Issue,4,resolved,2025-02-12
LOG_00305,CUST_0506,Technical Issue,3,pending,2025-08-06
LOG_00306,CUST_0130,Account Problem,,Pending,2025-03-02
LOG_00307,CUST_0015,Delivery Query,5,Closed,2025-01-24
LOG_00308,CUST_0161,Account Problem,5,resolved,2025-03-18
LOG_00309,CUST_0497,Refund Request,5,pending,2025-01-17
LOG_00310,CUST_0391,Delivery Query,1,Pending,2025-05-02
LOG_00311,CUST_0989,Delivery Query,3,pending,2025-06-26
LOG_00312,CUST_0672,Refund Request,2,closed,2025-04-16
LOG_00313,CUST_0697,Delivery Query,4,open,2025-11-14
LOG_00314,CUST_0842,General Inquiry,,closed,2025-07-15
LOG_00315,CUST_0844,Delivery Query,3,resolved,2025-01-28
LOG_00316,CUST_0604,Delivery Query,2,Open,2025-11-30
LOG_00317,CUST_8888,Account Problem,,Open,2025-04-29
LOG_00318,CUST_0945,Refund Request,4,pending,2025-11-17
LOG_00319,CUST_0983,General Inquiry,1,closed,2025-05-16
LOG_00320,CUST_0701,Technical Issue,3,pending,2025-05-21
LOG_00321,CUST_0133,Delivery Query,1,resolved,2025-12-09
LOG_00322,CUST_0720,Refund Request,3,resolved,2025-07-13
LOG_00323,CUST_0315,Account Problem,4,Open,2025-02-20
LOG_00324,CUST_0419,Technical Issue,1,resolved,2025-01-18
LOG_00325,CUST_0213,Technical Issue,3,closed,2025-09-22
LOG_00326,CUST_0967,Refund Request,5,RESOLVED,2025-10-22
LOG_00327,CUST_0036,Delivery Query,,RESOLVED,2025-07-16
LOG_00328,CUST_0490,Account Problem,2,closed,2025-07-20
LOG_00329,CUST_0451,Technical Issue,4,Open,2025-09-08
LOG_00330,CUST_0246,Refund Request,5,Closed,2025-12-29
LOG_00331,CUST_0222,Technical Issue,2,resolved,2025-01-14
LOG_00332,CUST_0490,Account Problem,,closed,2025-12-02
LOG_00333,CUST_0550,Delivery Query,,Pending,2025-10-20
LOG_00334,CUST_0922,General Inquiry,,pending,2025-01-05
LOG_00335,CUST_0175,Refund Request,5,Closed,2025-05-02
LOG_00336,CUST_0669,Account Problem,,closed,2025-07-05
LOG_00337,CUST_0765,Technical Issue,2,Pending,2025-03-12
LOG_00338,CUST_0726,Refund Request,1,open,2025-02-23
LOG_00339,CUST_0915,General Inquiry,,pending,2025-10-09
LOG_00340,CUST_0355,Refund Request,2,open,2025-05-27
LOG_00341,CUST_0330,Refund Request,4,Closed,2025-11-03
LOG_00342,CUST_0435,Account Problem,3,Pending,2025-04-29
LOG_00343,CUST_0333,Technical Issue,2,open,2025-03-23
LOG_00344,CUST_0410,General Inquiry,5,closed,2025-07-21
LOG_00345,CUST_0161,Technical Issue,1,open,2025-06-25
LOG_00346,CUST_0994,Account Problem,3,resolved,2025-05-23
LOG_00347,CUST_0580,Refund Request,3,closed,2025-05-20
LOG_00348,CUST_0008,Delivery Query,3,resolved,2025-07-17
LOG_00349,CUST_0374,Delivery Query,5,closed,2025-11-20
LOG_00350,CUST_0613,Delivery Query,2,open,2025-07-11
LOG_00351,CUST_0756,Delivery Query,5,Pending,2025-09-05
LOG_00352,CUST_0541,General Inquiry,,RESOLVED,2025-06-14
LOG_00353,CUST_0057,General Inquiry,3,resolved,2025-02-23
LOG_00354,CUST_0355,Technical Issue,,closed,2025-12-04
LOG_00355,CUST_0909,Refund Request,3,Pending,2025-03-26
LOG_00356,CUST_0513,Account Problem,4,RESOLVED,2025-06-28
LOG_00357,CUST_0487,Refund Request,4,Closed,2025-01-27
LOG_00358,CUST_0097,Account Problem,,Pending,2025-11-25
LOG_00359,CUST_0009,Account Problem,2,Closed,2025-01-19
LOG_00360,CUST_0265,Delivery Query,,RESOLVED,2025-01-03
LOG_00361,CUST_0561,Technical Issue,,Open,2025-12-14
LOG_00362,CUST_0168,Technical Issue,,Closed,2025-09-08
LOG_00363,CUST_0268,Account Problem,5,resolved,2025-03-27
LOG_00364,CUST_0047,Refund Request,2,Closed,2025-09-03
LOG_00365,CUST_0279,Delivery Query,5,closed,2025-06-20
LOG_00366,CUST_0514,Technical Issue,,resolved,2025-04-29
LOG_00367,CUST_0350,Delivery Query,,resolved,2025-11-29
LOG_00368,CUST_0066,Refund Request,5,RESOLVED,2025-09-09
LOG_00369,CUST_0711,Refund Request,5,Open,2025-03-17
LOG_00370,CUST_0028,Account Problem,5,Open,2025-10-22
LOG_00371,CUST_0103,Account Problem,3,RESOLVED,2025-04-06
LOG_00372,CUST_0854,General Inquiry,1,Pending,2025-12-20
LOG_00373,CUST_0575,Refund Request,,Pending,2025-02-26
LOG_00374,CUST_0128,Technical Issue,5,Pending,2025-05-08
LOG_00375,CUST_0705,Account Problem,1,RESOLVED,2025-03-16
LOG_00376,CUST_0873,Account Problem,2,open,2025-04-28
LOG_00377,CUST_0905,Account Problem,4,Pending,2025-02-08
LOG_00378,CUST_0378,Account Problem,3,Open,2025-09-06
LOG_00379,CUST_0619,General Inquiry,4,resolved,2025-01-23
LOG_00380,CUST_0181,Account Problem,1,closed,2025-07-07
LOG_00381,CUST_0823,Technical Issue,5,Closed,2025-02-28
LOG_00382,CUST_0963,Technical Issue,1,Open,2025-11-20
LOG_00383,CUST_0657,Account Problem,5,pending,2025-08-04
LOG_00384,CUST_0226,Delivery Query,5,Pending,2025-01-29
LOG_00385,CUST_0132,Delivery Query,1,RESOLVED,2025-12-23
LOG_00386,CUST_0040,Account Problem,5,open,2025-11-02
LOG_00387,CUST_0235,Account Problem,,pending,2025-06-16
LOG_00388,CUST_0688,Refund Request,2,pending,2025-12-01
LOG_00389,CUST_0626,Account Problem,,closed,2025-02-15
LOG_00390,CUST_0923,Delivery Query,,resolved,2025-12-25
LOG_00391,CUST_0119,Refund Request,1,pending,2025-05-07
LOG_00392,CUST_0372,Delivery Query,2,Closed,2025-07-16
LOG_00393,CUST_0544,Account Problem,3,RESOLVED,2025-12-08
LOG_00394,CUST_0500,Refund Request,4,Open,2025-06-16
LOG_00395,CUST_0922,Account Problem,,open,2025-05-03
LOG_00396,CUST_0084,Technical Issue,5,open,2025-10-01
LOG_00397,CUST_0420,Refund Request,3,open,2025-01-26
LOG_00398,CUST_0143,Refund Request,4,Open,2025-07-25
LOG_00399,CUST_0192,Account Problem,2,closed,2025-04-08
LOG_00400,CUST_0964,Account Problem,2,pending,2025-07-17
LOG_00401,CUST_0487,Refund Request,1,Open,2025-10-16
LOG_00402,CUST_0056,General Inquiry,5,RESOLVED,2025-01-31
LOG_00403,CUST_0226,Refund Request,4,pending,2025-07-09
LOG_00404,CUST_0668,Account Problem,,resolved,2025-10-04
LOG_00405,CUST_0441,General Inquiry,3,Open,2025-12-20
LOG_00406,CUST_0401,Account Problem,,Open,2025-08-11
LOG_00407,CUST_0681,Delivery Query,2,open,2025-08-25
LOG_00408,CUST_0218,Technical Issue,4,RESOLVED,2025-01-04
LOG_00409,CUST_0770,Technical Issue,,RESOLVED,2025-11-03
LOG_00410,CUST_0447,Refund Request,5,RESOLVED,2025-08-26
LOG_00411,CUST_0264,Technical Issue,2,Open,2025-06-21
LOG_00412,CUST_0234,Refund Request,5,RESOLVED,2025-03-26
LOG_00413,CUST_0949,General Inquiry,,Open,2025-02-18
LOG_00414,CUST_0922,Account Problem,3,Closed,2025-05-15
LOG_00415,CUST_0891,Refund Request,,Closed,2025-06-26
LOG_00416,CUST_0843,Delivery Query,2,Open,2025-05-12
LOG_00417,CUST_0717,Account Problem,4,Open,2025-02-14
LOG_00418,CUST_0131,Delivery Query,5,resolved,2025-02-04
LOG_00419,CUST_0542,Refund Request,5,resolved,2025-06-21
LOG_00420,CUST_0616,Delivery Query,4,Closed,2025-11-29
LOG_00421,CUST_0767,Technical Issue,4,Open,2025-05-07
